ADA	comp63790_c0_seq3
METTL17	amisp023679
ACBD3	amisp018398
MFSD1	amisp033592
LPPR2	amisp002374
SMURF2	amisp008530
CCDC136	amisp023594
SMYD3	comp58973_c0_seq1
C16orf58	comp63847_c0_seq3
ATPAF1	amisp017279
ANHX	amisp014305
TNS3	amisp006746
PARP12	amisp033641
GAREM	amisp028393
ZNF574	amisp026216
CREB3L2	amisp016961
S100PBP	comp59993_c0_seq4
IPPK	amisp016107
MEAF6	comp67132_c0_seq45
SIAH1	amisp028044
CCDC14	comp65174_c0_seq4
C6orf106	amisp032002
ENGASE	comp24898_c0_seq1
PCED1A	amisp024194
C11orf1	amisp010395
FNDC3B	amisp022234
MTHFSD	amisp033863
SIAH2	comp65820_c0_seq1
MICAL1	comp559032_c0_seq1
AEN	amisp028673
RBM15	amisp025065
GINS3	amisp024168
TBC1D15	comp67626_c0_seq2
EPS8L2	amisp008145
LMF1	amisp030082
EXO5	amisp024447
RABL5	amisp006905
CEP85	comp69932_c0_seq2
DDX31	amisp030723
RMND5A	amisp021778
DEPTOR	amisp004767
IQCH	amisp004170
BMI1	amisp028552
ST6GAL1	amisp028908
EFCAB6	amisp033022
ARV1	amisp006322
NMNAT1	comp69319_c2_seq90
P2RY12	comp48788_c1_seq1
IL25	amisp020906
ST3GAL1	amisp008917
ST3GAL2	amisp030263
ELOVL1	amisp012832
FNDC4	amisp008732
FBXL17	comp65495_c1_seq1
ST3GAL4	amisp001926
PORCN	comp70972_c5_seq28
GNPNAT1	amisp023388
ISL2	amisp024805
MARCH7	amisp032602
SPATA20	amisp000080
YTHDC2	amisp014987
SLC13A3	amisp032536
ETNPPL	amisp032878
TUT1	amisp016570
AIDA	amisp020519
USP46	amisp008008
FAM129B	amisp009574
VWA1	amisp030872
DCLRE1B	comp63371_c0_seq1
NABP1	amisp027402
METTL4	amisp007181
RFX7	amisp003140
CDCP1	amisp023214
ST3GAL3	comp51428_c0_seq1
PCDH20	amisp006034
ST8SIA1	comp48595_c0_seq1
PAPOLG	amisp009666
C12orf43	amisp014333
BMP1	comp68617_c0_seq4
PMEL	amisp011399
RANBP17	amisp019996
AGXT2	amisp017539
STIL	amisp033676
BCL11B	amisp026795
SIM1	amisp004004
CASD1	amisp030636
LRRC19	amisp027158
SLC30A5	amisp016206
CCDC71	amisp022299
RASAL3	amisp000724
TTC23	amisp002450
MRPL14	amisp029178
SIM2	amisp030588
NT5DC2	amisp020311
CENPH	amisp016209
MRPS26	amisp034476
SIX1	amisp010238
MRPS24	amisp002178
SIX3	amisp009603
MRPS15	comp69817_c10_seq12
MRPS11	amisp028675
MRPS9	amisp031003
MRPS6	amisp009910
MRPS5	amisp034043
SKI	amisp006950
MRPL41	amisp000642
MRPL40	amisp030989
MRPL38	amisp022883
MRPL36	amisp005103
SKIL	amisp021575
MRPL34	comp111117_c0_seq1
MRPL32	amisp028441
SKIV2L	amisp016433
BMP2	amisp032484
SKP1	amisp030833
MRPL11	amisp006452
MRPL9	amisp029327
MRPL1	amisp007910
NDRG4	comp67236_c0_seq3
SLC26A6	amisp021885
PINK1	amisp022616
SKP2	comp65483_c3_seq1
SLA	amisp001890
SLAMF1	comp60231_c0_seq1
SLC1A1	amisp032630
REEP1	amisp021773
GPBP1	amisp029495
ACD	amisp033481
RAPH1	comp70103_c0_seq23
SLC1A2	comp63906_c0_seq1
TMEM237	amisp013918
NBEAL1	amisp001817
SLC1A3	amisp017559
RTN4R	amisp001018
SLC4A3	amisp025203
MRPL44	amisp019727
VPS33A	amisp017837
NOL6	amisp015814
TMEM135	amisp030425
SLC1A4	amisp012996
JMJD4	amisp017613
KRI1	amisp032940
BMP3	amisp012243
SLC1A5	amisp031198
MARCKSL1	amisp019509
UPF3B	amisp034915
SLC1A6	comp60635_c0_seq1
UPF3A	amisp034438
RSRC2	amisp031622
SLC1A7	amisp010912
INTS3	amisp000417
SOWAHC	amisp034433
WNK1	amisp018697
SLC2A1	amisp006383
SLC2A2	amisp021333
SLC2A3	amisp025124
LOC651536	amisp010938
ANKRD33B	comp38533_c1_seq1
SLC2A5	amisp028556
SLC3A1	amisp009597
BMP4	amisp023381
SLC3A2	amisp010263
SLC4A1	amisp007304
PCDH15	amisp033528
SLC4A2	amisp017307
NADK	amisp011730
SLC5A1	amisp014302
SPATS2	comp63283_c0_seq1
SMTN	comp70563_c0_seq23
C5orf42	comp67091_c1_seq3
MPPE1	comp66776_c0_seq80
SLC5A3	amisp009912
SELRC1	amisp007064
PYCRL	amisp002963
UBE2Z	amisp032038
C8orf33	amisp030931
WNK4	comp66814_c1_seq2
WNK3	amisp017166
WNK2	amisp010423
SLC6A1	amisp009299
GATSL3	amisp006108
SKOR2	amisp018408
BMP5	amisp025318
SLC6A2	amisp032970
ZDHHC11B	comp55486_c0_seq2
ZBTB8A	amisp019482
SLC6A4	amisp034805
CFC1B	comp35366_c0_seq1
SLC6A6	amisp034372
ASAH2B	comp1489770_c0_seq1
KIAA0895L	comp68169_c0_seq1
NCF1	amisp024722
SLC6A7	amisp031251
AQP12B	amisp031417
LGALS7B	amisp000447
SLC6A8	amisp022293
SFTPA1	amisp011297
PHLDB3	comp66397_c1_seq4
SLC6A9	amisp023839
MZT2A	amisp007463
SLC6A11	amisp030947
SLC6A12	amisp003766
BMP6	amisp024092
SLC6A13	comp67814_c0_seq12
SLC7A1	amisp001494
SLC7A2	amisp015175
SLC8A2	amisp020666
LRTM2	comp67017_c0_seq2
FER1L6	amisp034716
BOLA2B	amisp016288
SLC7A4	amisp015198
IQCJ	amisp010661
SLC8A1	comp61189_c0_seq1
SLC8A3	amisp015234
PCP4L1	amisp010574
SLC9A1	amisp008477
SLC9A2	amisp030134
BMP7	amisp021393
SLC9A3	amisp024675
SLC9A5	amisp023189
SLC10A1	amisp019336
SLC10A2	amisp003783
SLC11A1	amisp018002
SLC12A1	amisp005741
SLC12A2	comp68924_c2_seq7
BMP8B	amisp016932
SLC12A4	amisp026151
SLC13A1	amisp003865
SLC15A1	amisp034491
SLC15A2	amisp006921
SLC16A1	amisp020552
SLC16A2	amisp001161
BMPR1A	amisp018957
SLC18A1	amisp002629
SLC18A2	amisp020580
SLC18A3	amisp034120
SLC19A1	amisp033624
SLC20A1	amisp002179
SLC20A2	amisp020183
SLC25A1	amisp000145
SLCO2A1	amisp022532
SLCO1A2	amisp016533
BMPR1B	amisp023009
SLC22A3	amisp016856
SLC22A2	amisp001796
SLC22A4	amisp019845
SLIT3	amisp028529
SLN	comp29584_c0_seq1
BMPR2	amisp001825
SLPI	comp65435_c0_seq5
SNAI2	amisp032078
SMARCA1	amisp031939
SMARCA2	amisp011804
HLTF	amisp025584
SMARCA4	amisp032911
STK33	amisp025979
PLEKHA3	amisp021059
PHACTR4	amisp021622
SMARCB1	amisp019620
BRD9	amisp024402
CAPRIN2	amisp030402
GRAMD3	amisp006184
AACS	amisp017207
ZBTB10	amisp022554
KCTD14	amisp018619
DLK2	comp68799_c4_seq3
SMARCC1	amisp004483
FAM173A	amisp030891
FUNDC2	amisp001275
DDRGK1	amisp034466
MRPS34	amisp030904
RASL11B	amisp008010
C11orf95	amisp027236
LRRC61	amisp026995
BMX	amisp024773
TMEM108	amisp023661
CHID1	amisp019021
TRAK2	amisp033629
SMARCC2	amisp011385
SMARCD1	amisp003677
SMARCD2	amisp013946
SLC2A11	amisp019623
MTMR9	amisp032263
BOLL	amisp015376
SMARCD3	comp69298_c2_seq2
SMARCE1	amisp025997
SMN1	amisp029671
SMO	amisp004008
SMPD1	amisp013659
POLR3D	amisp029811
SMPD2	amisp029460
SMS	amisp014127
SUMO3	amisp013352
SUMO2	amisp022926
SIGLEC1	amisp007008
SNAP25	amisp006162
SNAPC1	amisp022376
SNAPC2	amisp022643
SNAPC3	amisp006170
BNIP1	amisp032646
SNCB	amisp025465
SNAPC4	amisp013734
SNCA	comp32725_c0_seq1
SNCG	amisp018959
FSCN1	amisp004947
SNRNP70	amisp027582
SNRPA	amisp024022
SNRPA1	amisp006137
SNRPB	comp29494_c0_seq1
SNRPB2	amisp033478
BNIP2	amisp010985
SNRPC	comp47265_c0_seq4
SNRPD1	amisp023672
SNRPD2	amisp031210
SNRPD3	amisp006221
SNRPE	amisp004661
SNRPF	amisp029913
SNRPG	comp29778_c0_seq1
SNRPN	amisp013308
BNIP3	amisp029837
SNTA1	amisp033466
SNTB1	amisp004773
SNX1	amisp011023
SNX2	amisp011995
SNTB2	amisp009857
SOAT1	amisp006497
SOD1	amisp001628
SOD2	amisp011951
SOD3	amisp000174
BNIP3L	amisp024949
CAPN15	comp68129_c0_seq4
SON	amisp007899
SORD	amisp001053
SORL1	amisp018237
SOS1	amisp016971
SOS2	amisp031294
SOX2	amisp013613
SOX3	amisp034062
SOX4	amisp029664
BOK	amisp031437
SOX5	comp68112_c0_seq1
SOX9	amisp017608
SOX10	amisp017894
SOX11	amisp015679
SOX12	amisp012527
SP1	amisp032734
SP2	amisp032070
DST	comp71040_c4_seq42
SP3	amisp001920
SP4	amisp025551
SPAG1	amisp020212
UAP1	comp70890_c1_seq15
SPAM1	amisp003880
SPARC	amisp005110
FOXL2	amisp002188
SPAST	comp70213_c6_seq4
SPG7	amisp030122
SPI1	amisp029977
SPIB	amisp034771
BPGM	amisp010044
SPINK1	amisp025447
SPINK2	comp83869_c0_seq1
SPINT1	amisp003946
SPP2	amisp033585
SPOCK1	amisp006787
SPP1	amisp004398
SPR	amisp001256
BPHL	amisp015211
SPTAN1	comp61155_c0_seq8
BPI	amisp011720
SPTB	amisp013282
SPTBN1	amisp003086
SQLE	amisp031164
SRC	amisp022058
SRD5A1	amisp030194
SRD5A2	comp64095_c0_seq2
SRI	amisp005720
AKR1D1	amisp021588
BRCA1	amisp028891
SREBF1	amisp024274
SREBF2	amisp004468
SRF	amisp018560
SRM	amisp011770
SRMS	amisp018304
SRP9	amisp003270
SRP19	amisp016651
SRP54	amisp027896
BRAF	amisp026940
SRP68	amisp022871
SRP72	amisp014437
SRPK1	amisp029447
SRPK2	comp65406_c0_seq10
SRPR	amisp001933
TROVE2	amisp012793
SSB	amisp013166
SSBP1	amisp016960
SSFA2	amisp003116
SSR1	comp70710_c3_seq10
SSR2	amisp005973
SSR3	amisp019546
SSR4	amisp030055
SSRP1	amisp004671
BRCA2	amisp028129
SST	amisp033732
SSTR1	amisp012812
SSTR2	comp68317_c8_seq1
SSTR3	amisp018491
SSTR4	amisp005007
SSTR5	amisp035207
BRDT	amisp013514
SS18	comp57452_c0_seq1
ST5	amisp025976
ST13	amisp025614
ST14	amisp014877
STAC	amisp027331
ZFP36L1	amisp001542
STAR	amisp032848
STAT1	amisp027409
STAT2	comp68719_c0_seq4
STAT3	comp62535_c0_seq4
STAT4	amisp027408
STAT5B	amisp008227
STAT6	amisp023800
STAU1	amisp019551
STC1	amisp035250
HSPA13	amisp010741
SULT1E1	amisp020184
ELOVL4	amisp013248
STIM1	comp55745_c0_seq1
NEK4	amisp020300
STK3	amisp009719
STK4	amisp022073
AURKA	amisp013903
CDKL5	amisp018635
STK10	amisp032655
STK11	amisp032427
BRS3	comp23678_c0_seq1
STRN	amisp004043
STX1A	comp71145_c7_seq13
STX3	amisp005323
STX4	amisp011143
STX5	amisp016577
STXBP1	comp67616_c0_seq1
STXBP2	amisp004854
STXBP3	amisp001449
STYX	amisp023390
SULT1A1	comp115664_c0_seq1
SULT1C2	amisp019855
BSG	amisp032465
SULT2B1	amisp022690
SUOX	comp60224_c0_seq1
SUPT4H1	amisp034998
SUPT5H	amisp002044
BST1	amisp000752
SUPT6H	amisp014637
SUPV3L1	amisp010511
ABCC8	amisp022138
SURF1	amisp023621
SURF2	amisp023620
SURF4	amisp023619
MED22	amisp023623
SURF6	amisp023624
SUV39H1	comp70519_c6_seq11
SVIL	comp68423_c0_seq6
VAMP1	amisp030616
VAMP2	amisp027347
VAMP7	amisp002142
XCL2	comp23913_c0_seq1
SYCP1	amisp004599
BTC	amisp017690
SYK	amisp026059
SYN1	amisp010821
SYN2	comp57597_c0_seq2
SYP	amisp033716
SYPL1	amisp014194
SYT1	amisp032215
BTD	amisp023683
SYT4	amisp000835
T	comp766165_c0_seq1
TAC1	comp47281_c0_seq1
TAC3	amisp023795
TACC1	comp70052_c1_seq2
ADAM17	amisp020736
TACR1	amisp000811
KLF9	amisp009346
TADA2A	amisp024506
TAF1	amisp009771
TAF2	amisp004765
TAF4	amisp015764
TAF4B	amisp006200
TAGLN	amisp016938
TAF5	amisp027471
TAF6	amisp022657
TAF7	amisp014262
KLF5	amisp029516
TAF9	comp47686_c1_seq1
TAF10	comp29391_c0_seq1
TAF11	amisp031999
TAF12	comp69709_c0_seq8
TAF13	amisp023471
MAP3K7	comp69432_c0_seq2
TAL1	amisp033677
TAL2	amisp032662
TALDO1	amisp008144
BTF3	amisp018969
TAP1	amisp015981
TAP2	amisp015979
TAPBP	amisp024129
TARBP1	amisp018677
TARBP2	amisp032745
TARS	amisp008357
TAT	amisp009820
TBX1	amisp012309
CNTN2	amisp005262
TAZ	amisp033697
TBCA	amisp009963
TBCC	amisp028257
TBCD	comp64502_c0_seq1
TBCE	amisp002713
TBL1X	amisp000875
TBP	amisp006330
TBX2	amisp019004
TBX5	amisp021460
TBX6	amisp011593
TBX15	amisp033405
TBXA2R	amisp015388
TBXAS1	amisp033639
TCEA1	amisp006700
TCEA2	comp70146_c0_seq4
TCEA3	amisp020154
MSMP	amisp016330
TCEB1	amisp005145
TCEB2	amisp014919
TCEB3	amisp029004
TCF4	comp66346_c1_seq29
TBX3	amisp021458
HNF1A	amisp014334
HNF1B	amisp024498
TCF3	amisp031788
TCF7	comp70637_c0_seq11
TCF7L2	comp70302_c0_seq11
ZEB1	comp59954_c1_seq1
GCFC2	comp65398_c0_seq1
TCF12	comp66711_c0_seq14
TCF15	amisp012520
BTG1	amisp009012
TCF20	amisp034038
TCF21	amisp014745
VPS72	amisp012586
MLX	amisp007440
TCN1	amisp005321
TCN2	amisp006099
TCOF1	comp70886_c2_seq6
BTK	amisp014265
TCP1	amisp011948
TCP11	amisp031994
BTN1A1	amisp015954
TECTB	amisp007725
TCTA	amisp022009
BUB1	amisp021077
DYNLT3	amisp031900
PPP1R11	amisp006278
DYNLT1	comp32361_c0_seq2
TDG	amisp026810
TDO2	amisp024421
ACTC1	amisp010550
TEAD1	amisp033132
TEAD4	amisp021430
TEAD3	amisp029459
TEC	amisp014758
TECTA	amisp034235
TEF	amisp032692
TMBIM6	amisp003710
BUB1B	amisp028479
TEK	amisp027159
TERF1	amisp021024
TERF2	comp66615_c1_seq5
TERT	comp65851_c0_seq2
TESK1	amisp026988
TF	comp71620_c0_seq1
TFAM	amisp024114
TFAP2A	amisp034259
TFAP2B	comp65261_c0_seq12
TFAP2C	amisp013909
TFAP4	amisp013506
TFCP2	amisp004213
NR2F1	amisp016229
NR2F2	comp67915_c0_seq2
TFDP1	amisp033095
TFDP2	amisp026897
TFE3	amisp030065
TFF2	comp22697_c0_seq2
TFPI	amisp000127
TFR2	amisp028579
TFRC	amisp002520
TG	amisp001889
TGFA	amisp008898
TGFB1	comp68191_c0_seq1
TGFB1I1	amisp005560
TGFB2	amisp012021
TGFB3	amisp007166
LEFTY2	amisp003265
TGFBI	amisp033840
TGFBR1	amisp032108
TGM4	amisp023219
TGFBR2	amisp025901
TGFBR3	amisp013520
BYSL	amisp003289
TGIF1	amisp023043
TGM1	amisp013847
TGM2	amisp011722
TGM3	amisp013317
TH	amisp011622
THBD	amisp005008
THBS2	amisp035126
THBS3	amisp000356
TSPO	amisp002828
THBS4	amisp016213
THOP1	amisp016667
THPO	amisp020829
THRA	amisp022964
THRB	comp59663_c0_seq1
THRSP	comp83518_c0_seq1
THY1	amisp004410
KLF10	amisp034740
TIA1	comp68782_c1_seq25
TIAL1	amisp027090
TIAM1	comp67753_c0_seq4
TIE1	amisp012838
TIMP1	amisp010822
TIMP2	comp60689_c0_seq1
TIMP3	comp47277_c1_seq1
TIMP4	amisp033165
C1QBP	amisp024902
NKX2-1	amisp005030
TJP1	comp66095_c2_seq6
TK1	comp28205_c0_seq1
TK2	amisp009524
TKT	amisp001438
ICAM5	amisp002391
TLE1	comp70547_c0_seq9
TLE2	amisp013148
TLE3	amisp026917
TLE4	comp70547_c0_seq12
TLL1	amisp009320
TLL2	amisp021612
TLN1	amisp008970
SEC62	amisp021570
TLR2	amisp012973
TLR3	amisp019827
ACTG1	amisp020335
SERPING1	amisp010948
TLR5	comp45925_c0_seq1
NR2E1	amisp015993
TSPAN7	amisp035089
TSPAN8	amisp010538
TM4SF4	amisp009072
TSPAN6	amisp014238
TSPAN4	amisp034760
GPR137B	amisp011656
TM7SF2	comp68623_c1_seq1
TRAPPC10	amisp009797
TMF1	amisp004069
TMOD1	amisp023844
TMPO	comp62901_c0_seq6
TMPRSS2	amisp021995
TMSB4X	comp71692_c0_seq1
C1QA	amisp006590
CLDN5	amisp012318
CLEC3B	amisp023215
TNF	amisp020378
TNNC2	amisp025711
TNFAIP1	amisp024460
TNFAIP2	amisp029980
TNFAIP3	amisp029918
C1QB	amisp006588
TNFAIP6	amisp012056
TNFRSF1A	amisp008939
TNFRSF1B	amisp018175
TNNC1	amisp020316
TNNI1	amisp016154
TNNI2	amisp016980
TNNI3	comp29607_c0_seq1
TNNT1	amisp018900
TNNT2	amisp016151
C1QC	amisp006589
TNNT3	amisp016984
TNR	amisp034708
TNS1	comp69615_c2_seq2
TNXB	amisp001651
C1R	amisp005241
TOP1	amisp005382
TOP2A	amisp022946
TOP2B	amisp028167
TOP3A	amisp024294
TP53	amisp018820
TP53BP1	amisp018555
TP53BP2	amisp032473
C1S	amisp005239
TP73	amisp026227
TPBG	amisp026462
TPD52	comp62224_c0_seq9
TPD52L1	comp62121_c0_seq3
TPD52L2	comp65385_c0_seq17
TPH1	amisp011202
TPI1	amisp005226
TPM1	comp70502_c2_seq3
TPM2	amisp008966
C2	comp63414_c0_seq1
TPM3	comp67481_c0_seq2
TPMT	amisp002410
TPO	amisp007243
TPP2	comp66775_c0_seq4
TPR	amisp028307
TPT1	amisp028475
C3	amisp032952
CRISP2	amisp031362
NR2C1	amisp033573
NR2C2	amisp020025
HSP90B1	amisp026812
TRAF1	amisp016314
TRAF2	amisp022759
TRAF3	amisp004247
TRAF5	amisp008778
TRAF6	amisp016482
C3AR1	amisp025129
ACTG2	amisp024600
C4A	comp69354_c0_seq1
TRH	amisp020031
TRHR	amisp006975
CCT3	amisp005976
TRIO	amisp019086
TRIP6	amisp006356
C4B	amisp010760
C4BPA	comp70992_c0_seq7
TRPC1	amisp026889
TRPC3	amisp029760
TRPC4	amisp004167
TRPC5	amisp008067
TRPC6	amisp005064
TRPM2	amisp013361
TRPS1	amisp021249
TSN	amisp006927
TSC1	amisp030714
TSC2	comp70228_c1_seq3
TSG101	amisp011193
TSHB	amisp004605
TSHR	amisp003464
TSNAX	amisp012543
CAPN5	amisp002483
TSSC1	amisp029869
PHLDA2	amisp025276
TST	amisp018500
TSTA3	amisp002960
TTC1	amisp032322
DNAJC7	amisp008198
TTC3	amisp030577
TTC4	amisp004447
C5	amisp016318
TTF1	amisp030728
TTK	amisp013246
TTN	comp66552_c0_seq2
TTPA	amisp003480
TUB	amisp018565
TTR	amisp001738
TUBA4A	amisp017629
AREGB	amisp017687
TUBA3C	amisp009079
RNF208	amisp026125
BHLHA9	amisp000971
MUC5B	comp57485_c0_seq1
GXYLT2	amisp032816
MROH1	comp69729_c0_seq1
C5AR1	amisp031869
LOC728026	amisp002493
FAM203B	comp70567_c0_seq6
ANXA8L1	amisp030441
ZBTB8B	amisp019484
FAM155A	amisp032254
CLEC19A	amisp013338
D2HGDH	amisp031431
TUBG1	amisp007437
GTF2H2C	amisp027194
OVOL3	amisp025290
TUFM	amisp023576
METTL24	amisp008459
DNLZ	amisp013736
C12orf73	amisp026811
CCDC169	amisp023882
DCDC2C	comp25358_c0_seq1
TUFT1	amisp029333
CCDC30	amisp006378
LOC728637	amisp027435
CDK11A	amisp011736
SLC35E2B	amisp011733
TULP1	amisp029455
ANKDD1B	amisp016639
TULP3	amisp021428
C6	amisp010773
HIRA	amisp030988
SLC15A5	amisp022339
FAM198A	amisp013712
TWIST1	amisp012736
CCR2	comp61453_c0_seq2
OC90	amisp024660
GATSL2	comp30073_c0_seq1
CCDC61	amisp031211
DSTNP4	comp67324_c0_seq1
RAD51AP2	amisp020173
TXN	amisp004500
TMEM242	amisp009990
FAM72A	amisp002759
TXNRD1	amisp034817
CCDC175	amisp025222
TYK2	amisp002387
TYMS	amisp029676
FAM160A1	amisp029382
ISPD	amisp034328
SHISA7	amisp022671
MORN2	amisp022632
MEF2BNB	amisp027259
SHISA9	comp69044_c7_seq2
C7	amisp010770
TYRO3	amisp016100
FAM166B	amisp008147
LOC730159	comp62356_c0_seq1
IRG1	amisp021353
TYRP1	amisp023411
U2AF1	comp60647_c0_seq10
C8A	amisp015280
UBA52	comp29782_c0_seq1
RFX8	comp58112_c0_seq6
UBB	amisp000953
UBA1	amisp010812
UBE2A	amisp034912
C8B	amisp015281
UBE2B	comp66375_c0_seq4
UBE2D1	amisp024115
UBE2D2	amisp003831
UBE2D3	comp64643_c2_seq12
UBE2E1	amisp025296
UBE2E2	amisp025294
UBE2G1	amisp025267
UBE2G2	amisp013353
UBE2H	amisp000489
UBE2I	amisp024011
C8G	amisp022761
UBE2L3	amisp001750
UBE2N	amisp010315
UBE2V2	comp64938_c0_seq1
UBE3A	amisp006212
OSGIN2	amisp015367
SUMO1	amisp001828
UBP1	comp68416_c1_seq15
UBTF	comp62401_c0_seq3
UCHL1	amisp009048
UCHL3	amisp018416
UPK1B	amisp029149
C9	amisp016865
UCP2	amisp009001
UCP3	comp69601_c0_seq3
UFD1L	amisp015199
SLC35A2	amisp030029
UGCG	amisp029346
UGDH	amisp009026
UGP2	amisp013006
UGT8	amisp007193
UMOD	amisp014621
UCK2	amisp034682
UMPS	amisp015046
COL14A1	comp58433_c0_seq1
UNG	amisp025934
NR1H2	comp70114_c6_seq23
UPP1	amisp033565
UPK2	amisp027033
VPS51	comp48328_c0_seq1
UPK3A	amisp026957
UQCRB	amisp004078
UQCRC1	amisp021887
UQCRC2	amisp014596
UQCRFS1	amisp015937
UQCRH	amisp018325
UROD	amisp009278
UROS	amisp001125
USF1	amisp018073
USF2	amisp019221
USP1	amisp031749
USH2A	amisp027982
CLRN1	amisp009057
UTRN	amisp020021
KDM6A	comp67925_c0_seq1
UVRAG	amisp028856
VARS	amisp021119
VASP	comp61457_c0_seq1
VAV1	amisp032961
ZNHIT2	comp65420_c0_seq1
VAV2	amisp023598
VBP1	amisp018933
VCAM1	amisp001633
VCL	comp66203_c0_seq3
VCP	amisp034093
VDAC1	amisp030827
VDAC2	amisp025114
VDAC3	amisp025400
VDR	amisp032727
VEGFA	comp70664_c2_seq23
VEGFC	amisp013608
VHL	amisp028733
VIL1	amisp018001
EZR	amisp007970
VIM	amisp000533
VIP	amisp019026
VIPR1	amisp000665
VIPR2	comp51294_c1_seq1
VLDLR	amisp011807
BEST1	amisp027632
MPPED2	amisp014908
TRPV1	amisp000938
VRK1	amisp006445
VRK2	amisp016371
VSNL1	amisp020172
VTN	amisp014650
MYRF	comp70453_c4_seq2
VWF	amisp028271
WARS	amisp009144
WAS	amisp017126
ZAN	amisp025264
WIPF1	amisp011355
EIF4H	amisp026441
TMEM258	amisp031351
CLIP2	comp69034_c1_seq4
CORO2A	amisp002220
WEE1	amisp006536
WFS1	amisp025637
WHSC1	amisp004377
NELFA	amisp004374
DAGLA	amisp031354
WNT1	amisp003724
WNT2	comp920614_c0_seq1
WNT3	amisp013927
WNT5A	amisp017514
WNT7A	comp427960_c0_seq1
WNT7B	amisp023754
WNT8A	amisp034845
WNT8B	amisp016028
WNT11	amisp017314
WNT2B	amisp027098
WNT9A	amisp005645
WNT9B	amisp013925
WRB	amisp011107
WRN	amisp021195
WT1	amisp002696
XBP1	amisp011230
XDH	amisp007756
XK	amisp031897
XPA	amisp023848
XPC	amisp023073
XPNPEP1	amisp023717
XPNPEP2	amisp004713
XPO1	amisp009678
XRCC1	amisp027829
XRCC2	amisp031595
XRCC3	amisp000029
XRCC4	amisp026910
FMNL1	comp58411_c0_seq2
XRCC5	amisp020712
YES1	amisp029678
YY1	amisp009140
YWHAB	amisp005789
LDLRAD4	comp68701_c1_seq2
YWHAE	comp47490_c0_seq1
YWHAG	amisp020792
YWHAH	amisp014304
YWHAZ	amisp021217
ZAP70	amisp017336
SF1	amisp003164
ZFP36	amisp000446
PTTG1IP	amisp013350
ZBTB14	amisp008375
ZFPL1	comp66691_c0_seq2
ZFX	amisp022029
ZIC1	amisp032757
ZIC2	amisp020981
ZIC3	amisp015106
C21orf2	amisp013363
ZNF711	amisp003520
ZNF7	comp462911_c0_seq1
CNBP	amisp029552
TMEM50B	amisp007893
MPPED1	amisp003197
CA1	amisp030593
ZBTB25	amisp033322
CA2	amisp030589
CA3	amisp030591
CA4	amisp024528
ZNF76	amisp031989
ZNF84	amisp021712
CA6	amisp028557
CA7	amisp015761
CA8	amisp021742
CA9	amisp008964
RELL1	amisp021237
ZNF131	amisp009485
CA11	amisp022686
ZNF142	amisp017123
ZNF143	amisp006537
PCGF2	amisp007917
ZBTB16	amisp013206
TRIM25	amisp025859
ZNF148	amisp026652
ZBTB17	amisp031836
VEZF1	amisp024489
CACNA1A	amisp014064
RNF112	amisp008320
RNF113A	amisp007324
ZNF185	amisp002147
CACNA1B	amisp025408
CACNA1C	amisp024836
ZMYM2	amisp031698
ZNF207	amisp008549
ZNF208	amisp030284
CACNA1D	amisp017918
ZFAND5	amisp000040
ZNF217	amisp006842
CACNA1E	comp70700_c0_seq1
ZNF236	amisp005934
SLC30A1	amisp023510
CACNA1F	amisp017147
SLC30A2	amisp023266
SLC30A3	amisp008717
SLC30A4	amisp012358
ZP2	amisp014599
ZP3	amisp030079
CACNA1S	amisp010665
ZYX	amisp005052
LUZP1	amisp002892
PRDM2	comp68959_c1_seq3
DDR1	comp69600_c2_seq2
DNALI1	comp56623_c0_seq3
PTP4A1	amisp003024
LRP8	amisp010903
LAPTM5	amisp003922
TVP23A	amisp002113
BSND	amisp004438
CACNA2D1	comp68315_c0_seq2
CSDE1	comp70018_c0_seq10
EVI5	comp59653_c0_seq2
DAP3	amisp000341
CACNB1	comp69927_c4_seq34
NPHS2	amisp006492
CACNB2	comp62378_c0_seq2
BTG2	amisp004648
PXDN	amisp019977
CACNB3	amisp003717
ALMS1	amisp008768
MOGS	amisp025334
RNF103	amisp021777
PAX8	comp67631_c0_seq6
CACNB4	amisp012050
IL1R2	amisp030149
CXCR4	comp40733_c0_seq1
FZD5	amisp033443
SCG2	amisp024547
CACNG1	amisp019702
BRPF1	comp68123_c0_seq2
IFRD2	amisp029891
MAPKAPK3	amisp027213
SEMA3B	amisp028234
SLMAP	comp66997_c0_seq1
MANF	amisp008854
USP7	amisp005440
RAB7A	amisp012757
SLC25A20	amisp022279
KCNAB1	amisp019544
SLBP	amisp007841
DUSP26	amisp002634
CRELD1	amisp022305
MRP63	amisp031100
COLEC11	comp49283_c0_seq2
PCYOX1L	amisp007740
YIPF2	comp70251_c0_seq30
PRR14	comp64253_c0_seq1
C17orf53	comp47622_c0_seq1
C7orf49	amisp000219
GDAP1L1	amisp032524
CAD	amisp008708
VKORC1	comp46639_c0_seq1
C19orf43	amisp002331
MIS12	amisp024905
CUEDC2	amisp007352
SCNM1	amisp012584
METRN	amisp023491
DBNDD1	amisp030093
CAMKV	amisp004998
DDA1	amisp016690
GGCT	amisp013716
GID4	amisp024285
CENPM	amisp009119
C7orf25	amisp028443
TMEM106C	amisp032726
NUP37	amisp035145
C20orf195	amisp025017
AHNAK	amisp016540
